contents	keywords
"""Emerging markets"" funds focus on emerging markets such as China and India,[71]: 351  whereas ""sector funds"" specialize in specific areas including technology, healthcare, biotechnology, pharmaceuticals, energy, and basic materials. Funds using a ""fundamental growth"" strategy invest in companies with more earnings growth than the overall stock market or relevant sector, while funds using a ""fundamental value"" strategy invest in undervalued companies."	other
"[71]: 344  Funds that use quantitative and financial signal processing techniques for equity trading are described as using a ""quantitative directional"" strategy. [71]: 345  Funds using a ""short bias"" strategy take advantage of declining equity prices using short positions."	other
"[75]
 Event-driven strategies concern situations in which the underlying investment opportunity and risk are associated with an event. [76] An event-driven investment strategy finds investment opportunities in corporate transactional events such as consolidations, acquisitions, recapitalizations, bankruptcies, and liquidations."	Strategies, Risk
Managers employing such a strategy capitalize on valuation inconsistencies in the market before or after such events, and take a position based on the predicted movement of the security or securities in question. Large institutional investors such as hedge funds are more likely to pursue event-driven investing strategies than traditional equity investors because they have the expertise and resources to analyze corporate transactional events for investment opportunities.	Hedge fund, Strategies
"[70][77][78]
 Corporate transactional events generally fit into three categories: distressed securities, risk arbitrage, and special situations. [70] Distressed securities include such events as restructurings, recapitalizations, and bankruptcies."	Risk
[70] A distressed securities investment strategy involves investing in the bonds or loans of companies facing bankruptcy or severe financial distress, when these bonds or loans are being traded at a discount to their value. Hedge fund managers pursuing the distressed debt investment strategy aim to capitalize on depressed bond prices.	Hedge fund
Hedge funds purchasing distressed debt may prevent those companies from going bankrupt, as such an acquisition deters foreclosure by banks. [69] While event-driven investing, in general, tends to thrive during a bull market, distressed investing works best during a bear market.	Hedge fund
"[78]
 Risk arbitrage or merger arbitrage includes such events as mergers, acquisitions, liquidations, and hostile takeovers. [70] Risk arbitrage typically involves buying and selling the stocks of two or more merging companies to take advantage of market discrepancies between acquisition price and stock price."	Risk
"The risk element arises from the possibility that the merger or acquisition will not go ahead as planned; hedge fund managers will use research and analysis to determine if the event will take place. [78][79]
 Special situations are events that impact the value of a company's stock, including the restructuring of a company or corporate transactions including spin-offs, share buy backs, security issuance/repurchase, asset sales, or other catalyst-oriented situations."	Hedge fund, Risk
"To take advantage of special situations the hedge fund manager must identify an upcoming event that will increase or decrease the value of the company's equity and equity-related instruments. [80]
 Other event-driven strategies include credit arbitrage strategies, which focus on corporate fixed income securities; an activist strategy, where the fund takes large positions in companies and uses the ownership to participate in the management; a strategy based on predicting the final approval of new pharmaceutical drugs; and legal catalyst strategy, which specializes in companies involved in major lawsuits."	Hedge fund, Strategies
Relative value arbitrage strategies take advantage of relative discrepancies in price between securities. The price discrepancy can occur due to mispricing of securities compared to related securities, the underlying security or the market overall.	Strategies
Hedge fund managers can use various types of analysis to identify price discrepancies in securities, including mathematical, technical, or fundamental techniques. [81] Relative value is often used as a synonym for market neutral, as strategies in this category typically have very little or no directional market exposure to the market as a whole.	Hedge fund, Strategies
"[82] Other relative value sub-strategies include:
 In addition to those strategies within the four main categories, there are several strategies that do not entirely fit into these categories. For an investor who already holds large quantities of equities and bonds, investment in hedge funds may provide diversification and reduce the overall portfolio risk."	Hedge fund, Strategies, Risk
[83] Managers of hedge funds often aim to produce returns that are relatively uncorrelated with market indices and are consistent with investors' desired level of risk. [84][85] While hedging can reduce some risks of an investment it usually increases others, such as operational risk and model risk, so overall risk is reduced but cannot be eliminated.	Hedge fund, Risk
"According to a report by the Hennessee Group, hedge funds were approximately one-third less volatile than the S&P 500 between 1993 and 2010. [86]
 Investors in hedge funds are, in most countries, required to be qualified investors who are assumed to be aware of the investment risks, and accept these risks because of the potential returns relative to those risks."	Hedge fund, Risk
"Fund managers may employ extensive risk management strategies in order to protect the fund and investors. According to the Financial Times, ""big hedge funds have some of the most sophisticated and exacting risk management practices anywhere in asset management."	Hedge fund, Strategies, Risk
"""[84] Hedge fund managers that hold a large number of investment positions for short periods are likely to have a particularly comprehensive risk management system in place, and it has become usual for funds to have independent risk officers who assess and manage risks but are not otherwise involved in trading. [87] A variety of different measurement techniques and models are used to estimate risk according to the fund's leverage, liquidity, and investment strategy."	Hedge fund, Risk
"[85][88] Non-normality of returns, volatility clustering and trends are not always accounted for by conventional risk measurement methodologies and so in addition to value at risk and similar measurements, funds may use integrated measures such as drawdowns. [89]
 In addition to assessing the market-related risks that may arise from an investment, investors commonly employ operational due diligence to assess the risk that error or fraud at a hedge fund might result in a loss to the investor."	Hedge fund, Risk
"Considerations will include the organization and management of operations at the hedge fund manager, whether the investment strategy is likely to be sustainable, and the fund's ability to develop as a company. [90]
 Since hedge funds are private entities and have few public disclosure requirements, this is sometimes perceived as a lack of transparency."	Hedge fund
[91] Another common perception of hedge funds is that their managers are not subject to as much regulatory oversight and/or registration requirements as other financial investment managers, and more prone to manager-specific idiosyncratic risks such as style drifts, faulty operations, or fraud. [92] New regulations introduced in the US and the EU as of 2010 required hedge fund managers to report more information, leading to greater transparency.	Hedge fund, Risk, Regulation
[93] In addition, investors, particularly institutional investors, are encouraging further developments in hedge fund risk management, both through internal practices and external regulatory requirements. [84] The increasing influence of institutional investors has led to greater transparency: hedge funds increasingly provide information to investors including valuation methodology, positions, and leverage exposure.	Hedge fund, Risk
"[94]
 Hedge funds share many of the same types of risk as other investment classes, including liquidity risk and manager risk. [92] Liquidity refers to the degree to which an asset can be bought and sold or converted to cash; similar to private-equity funds, hedge funds employ a lock-up period during which an investor cannot remove money."	Hedge fund, Risk
"[69][95] Manager risk refers to those risks which arise from the management of funds. As well as specific risks such as style drift, which refers to a fund manager ""drifting"" away from an area of specific expertise, manager risk factors include valuation risk, capacity risk, concentration risk, and leverage risk."	Risk
[91] Valuation risk refers to the concern that the net asset value (NAV) of investments may be inaccurate;[96] capacity risk can arise from placing too much money into one particular strategy, which may lead to fund performance deterioration;[97] and concentration risk may arise if a fund has too much exposure to a particular investment, sector, trading strategy, or group of correlated funds. [98] These risks may be managed through defined controls over conflict of interest,[96] restrictions on allocation of funds,[97] and set exposure limits for strategies.	Strategies, Risk, Performance
"[98]
 Many investment funds use leverage, the practice of borrowing money, trading on margin, or using derivatives to obtain market exposure in excess of that provided by investors' capital. Although leverage can increase potential returns, the opportunity for larger gains is weighed against the possibility of greater losses."	other
[95] Hedge funds employing leverage are likely to engage in extensive risk management practices. [87][91] In comparison with investment banks, hedge fund leverage is relatively low; according to a National Bureau of Economic Research working paper, the average leverage for investment banks is 14.	Hedge fund, Risk
2, compared to between 1. 5 and 2.	other
"5 for hedge funds. [99]
 Some types of funds, including hedge funds, are perceived as having a greater appetite for risk, with the intention of maximizing returns,[95] subject to the risk tolerance of investors and the fund manager."	Hedge fund, Risk
"Managers will have an additional incentive to increase risk oversight when their own capital is invested in the fund. [87]
 Hedge fund management firms typically charge their funds both a management fee and a performance fee."	Hedge fund, Risk, Performance
Management fees are calculated as a percentage of the fund's net asset value and typically range from 1% to 4% per annum, with 2% being standard. [100][101][102] They are usually expressed as an annual percentage, but calculated and paid monthly or quarterly.	other
Management fees for hedge funds are designed to cover the operating costs of the manager, whereas the performance fee provides the manager's profits. However, due to economies of scale the management fee from larger funds can generate a significant part of a manager's profits, and as a result some fees have been criticized by some public pension funds, such as CalPERS, for being too high.	Hedge fund, Performance
"[103]
 The performance fee is typically 20% of the fund's profits during any year, though performance fees range between 10% and 50%. Performance fees are intended to provide an incentive for a manager to generate profits."	Performance
[104][105] Performance fees have been criticized by Warren Buffett, who believes that because hedge funds share only the profits and not the losses, such fees create an incentive for high-risk investment management. Performance fee rates have fallen since the start of the credit crunch.	Hedge fund, Risk, Performance
"[106]
 Almost all hedge fund performance fees include a ""high water mark"" (or ""loss carryforward provision""), which means that the performance fee only applies to net profits (i. e."	Hedge fund, Performance
, profits after losses in previous years have been recovered). This prevents managers from receiving fees for volatile performance, though a manager will sometimes close a fund that has suffered serious losses and start a new fund, rather than attempt to recover the losses over a number of years without a performance fee.	Performance
"[107]
 Some performance fees include a ""hurdle"", so that a fee is only paid on the fund's performance in excess of a benchmark rate (e. g."	Performance
, LIBOR) or a fixed percentage. [108] The hurdle is usually tied to a benchmark rate such as Libor or the one-year Treasury bill rate plus a spread.	other
"[109] A ""soft"" hurdle means the performance fee is calculated on all the fund's returns if the hurdle rate is cleared. A ""hard"" hurdle is calculated only on returns above the hurdle rate."	Performance
[110] By example the manager sets a hurdle rate equal to 5%, and the fund return 15%, incentive fees would only apply to the 10% above the hurdle rate. [109] A hurdle is intended to ensure that a manager is only rewarded if the fund generates returns in excess of the returns that the investor would have received if they had invested their money elsewhere.	other
Some hedge funds charge a redemption fee (or withdrawal fee) for early withdrawals during a specified period of time (typically a year), or when withdrawals exceed a predetermined percentage of the original investment. [111] The purpose of the fee is to discourage short-term investing, reduce turnover, and deter withdrawals after periods of poor performance.	Hedge fund, Performance
Unlike management fees and performance fees, redemption fees are usually kept by the fund and redistributed to all investors. Hedge fund management firms are often owned by their portfolio managers, who are therefore entitled to any profits that the business makes.	Hedge fund, Performance
As management fees are intended to cover the firm's operating costs, performance fees (and any excess management fees) are generally distributed to the firm's owners as profits. Funds do not tend to report compensation, and so published lists of the amounts earned by top managers tend to be estimates based on factors such as the fees charged by their funds and the capital they are thought to have invested in them.	Performance
"[112] Many managers have accumulated large stakes in their own funds and so top hedge fund managers can earn extraordinary amounts of money, perhaps up to $4 billion in a good year. [113][114]
 Earnings at the very top are higher than in any other sector of the financial industry,[115] and collectively the top 25 hedge fund managers regularly earn more than all 500 of the chief executives in the S&P 500."	Hedge fund
"[116] Most hedge fund managers are remunerated much less, however, and if performance fees are not earned then small managers at least are unlikely to be paid significant amounts. [115]
 In 2011, the top manager earned $3 billion, the tenth earned $210 million, and the 30th earned $80 million."	Hedge fund, Performance
[117] In 2011, the average earnings for the 25 highest-compensated hedge fund managers in the United States was $576 million[118] while the mean total compensation for all hedge fund investment professionals was $690,786 and the median was $312,329. The same figures for hedge fund CEOs were $1,037,151 and $600,000, and for chief investment officers were $1,039,974 and $300,000, respectively.	Hedge fund
"[119]
 Of the 1,226 people on the Forbes World's Billionaires List for 2012,[120] 36 of the financiers listed ""derived significant chunks"" of their wealth from hedge fund management. [121] Among the richest 1,000 people in the United Kingdom, 54 were hedge fund managers, according to the Sunday Times Rich List for 2012."	Hedge fund
"[122]
 A portfolio manager risks losing his past compensation if he or she engages in insider trading. In Morgan Stanley v."	Risk
Skowron, 989 F. Supp.	other
2d 356 (S. D.	other
N. Y.	other
"2013), applying New York's faithless servant doctrine, the court held that a hedge fund's portfolio manager engaging in insider trading in violation of his company's code of conduct, which also required him to report his misconduct, must repay his employer the full $31 million his employer paid him as compensation during his period of faithlessness. [123][124][125][126] The court called the insider trading the ""ultimate abuse of a portfolio manager's position""."	Hedge fund
"[124] The judge also wrote: ""In addition to exposing Morgan Stanley to government investigations and direct financial losses, Skowron's behavior damaged the firm's reputation, a valuable corporate asset. ""[124]
 A hedge fund is an investment vehicle that is most often structured as an offshore corporation, limited partnership, or limited liability company."	Hedge fund, Structure
[127] The fund is managed by an investment manager in the form of an organization or company that is legally and financially distinct from the hedge fund and its portfolio of assets. [128][129] Many investment managers utilize service providers for operational support.	Hedge fund
[130] Service providers include prime brokers, banks, administrators, distributors, and accounting firms. Prime brokers clear trades and provide leverage and short-term financing.	other
[131][132] They are usually divisions of large investment banks. [133] The prime broker acts as a counterparty to derivative contracts, and lends securities for particular investment strategies, such as long/short equities and convertible bond arbitrage.	Strategies
"[134][135] It can provide custodial services for the fund's assets, and trade execution and clearing services for the hedge fund manager. [136]
 Hedge fund administrators are typically responsible for valuation services, and often operations, and accounting."	Hedge fund
"Calculation of the net asset value (""NAV"") by the administrator, including the pricing of securities at current market value and calculation of the fund's income and expense accruals, is a core administrator task, because it is the price at which investors buy and sell shares in the fund. [137] The accurate and timely calculation of NAV by the administrator is vital."	other
[137][138] The case of Anwar v. Fairfield Greenwich (SDNY 2015) is the major case relating to fund administrator liability for failure to handle its NAV-related obligations properly.	other
"[139][140] There, the hedge fund administrator and other defendants settled in 2016 by paying the Anwar investor plaintiffs $235 million. [139][140]
 Administrator back office support allows fund managers to concentrate on trades."	Hedge fund
[141] Administrators also process subscriptions and redemptions and perform various shareholder services. [142][143] Hedge funds in the United States are not required to appoint an administrator and all of these functions can be performed by an investment manager.	Hedge fund
[144] A number of conflict of interest situations may arise in this arrangement, particularly in the calculation of a fund's net asset value. [145] Most funds employ external auditors, thereby arguably offering a greater degree of transparency.	other
"[144]
 An auditor is an independent accounting firm used to perform a complete audit the fund's financial statements. The year-end audit is performed in accordance with the standard accounting practices enforced within the country in which the fund it established, typically US GAAP or the International Financial Reporting Standards (IFRS)."	other
"[146] The auditor may verify the fund's NAV and assets under management (AUM). [147][148] Some auditors only provide ""NAV lite"" services, meaning that the valuation is based on prices received from the manager rather than an independent assessment."	other
"[149]
 A distributor is an underwriter, broker, dealer, or other person who participates in the distribution of securities. [150] The distributor is also responsible for marketing the fund to potential investors."	other
"Many hedge funds do not have distributors, and in such cases, the investment manager will be responsible for the distribution of securities and marketing, though many funds also use placement agents and broker-dealers for distribution. [151][152]
 The legal structure of a specific hedge fund, in particular its domicile and the type of legal entity in use, is usually determined by the tax expectations of the fund's investors."	Hedge fund, Structure
Regulatory considerations will also play a role. Many hedge funds are established in offshore financial centers to avoid adverse tax consequences for its foreign and tax-exempt investors.	Hedge fund
[153][154] Offshore funds that invest in the US typically pay withholding taxes on certain types of investment income, but not US capital gains tax. However, the fund's investors are subject to tax in their own jurisdictions on any increase in the value of their investments.	other
"[155][156] This tax treatment promotes cross-border investments by limiting the potential for multiple jurisdictions to layer taxes on investors. [157]
 US tax-exempt investors (such as pension plans and endowments) invest primarily in offshore hedge funds to preserve their tax exempt status and avoid unrelated business taxable income."	Hedge fund
[156] The investment manager, usually based in a major financial center, pays tax on its management fees per the tax laws of the state and country where it is located. [158] In 2011, half of the existing hedge funds were registered offshore and half onshore.	Hedge fund
The Cayman Islands was the leading location for offshore funds, accounting for 34% of the total number of global hedge funds. The US had 24%, Luxembourg 10%, Ireland 7%, the British Virgin Islands 6%, and Bermuda had 3%.	Hedge fund
"[159]
 Hedge funds take advantage of a tax loopole called carried interest to get around paying too much in taxes by fancy legalistic maneouvres on their part. [160]
 Deutsche Bank and Barclays created special options accounts for hedge fund clients in the banks' names and claimed to own the assets, when in fact the hedge fund clients had full control of the assets and reaped the profits."	Hedge fund
The hedge funds would then execute trades – many of them a few seconds in duration – but wait until just after a year had passed to exercise the options, allowing them to report the profits at a lower long-term capital gains tax rate. The US Senate Permanent Subcommittee on Investigations chaired by Carl Levin issued a 2014 report that found that from 1998 and 2013, hedge funds avoided billions of dollars in taxes by using basket options.	Hedge fund
"The Internal Revenue Service began investigating Renaissance Technologies[161] in 2009, and Levin criticized the IRS for taking six years to investigate the company. Using basket options Renaissance avoided ""more than $6 billion in taxes over more than a decade""."	other
"[162]
 These banks and hedge funds involved in this case used dubious structured financial products in a giant game of 'let's pretend,' costing the Treasury billions and bypassing safeguards that protect the economy from excessive bank lending for stock speculation. A dozen other hedge funds along with Renaissance Technologies used Deutsche Bank's and Barclays' basket options."	Hedge fund, Structure
"[162] Renaissance argued that basket options were ""extremely important because they gave the hedge fund the ability to increase its returns by borrowing more and to protect against model and programming failures"". [162] In July 2015, the United States Internal Revenue claimed hedge funds used basket options ""to bypass taxes on short-term trades""."	Hedge fund
"These basket options will now be labeled as listed transactions that must be declared on tax returns, and a failure to do would result in a penalty. [162]
 In contrast to the funds themselves, investment managers are primarily located onshore."	other
The United States remains the largest center of investment with US-based funds managing around 70% of global assets at the end of 2011. [159] As of April 2012, there were approximately 3,990 investment advisers managing one or more private hedge funds registered with the Securities and Exchange Commission.	Hedge fund
"[163] New York City and the Gold Coast area of Connecticut are the leading locations for US hedge fund managers. [164][165]
 London was Europe's leading center for hedge fund managers, but since the Brexit referendum some formerly London-based hedge funds have relocated to other European financial centers such as Frankfurt, Luxembourg, Paris, and Dublin, while some other hedge funds have moved their European head offices back to New York City."	Hedge fund
[166][167][168][169][170][171][172] Before Brexit, according to EuroHedge data, around 800 funds located in the UK had managed 85% of European-based hedge fund assets in 2011. [159] Interest in hedge funds in Asia has increased significantly since 2003, especially in Japan, Hong Kong, and Singapore.	Hedge fund
"[173] After Brexit, Europe and the US remain the leading locations for the management of Asian hedge fund assets. [159]
 Hedge fund legal structures vary depending on location and the investor(s)."	Hedge fund, Structure
US hedge funds aimed at US-based, taxable investors are generally structured as limited partnerships or limited liability companies. Limited partnerships and other flow-through taxation structures assure that investors in hedge funds are not subject to both entity-level and personal-level taxation.	Hedge fund, Structure
[136] A hedge fund structured as a limited partnership must have a general partner. The general partner may be an individual or a corporation.	Hedge fund, Structure
The general partner serves as the manager of the limited partnership, and has unlimited liability. [131][174] The limited partners serve as the fund's investors, and have no responsibility for management or investment decisions.	other
Their liability is limited to the amount of money they invest for partnership interests. [174][175] As an alternative to a limited partnership arrangement, U.	other
S. domestic hedge funds may be structured as limited liability companies, with members acting as corporate shareholders and enjoying protection from individual liability.	Hedge fund, Structure
"[176]
 By contrast, offshore corporate funds are usually used for non-US investors, and when they are domiciled in an applicable offshore tax haven, no entity-level tax is imposed. [153] Many managers of offshore funds permit the participation of tax-exempt US investors, such as pensions funds, institutional endowments, and charitable trusts."	other
[174] As an alternative legal structure, offshore funds may be formed as an open-ended unit trust using an unincorporated mutual fund structure. [177] Japanese investors prefer to invest in unit trusts, such as those available in the Cayman Islands.	Structure
"[178]
 The investment manager who organizes the hedge fund may retain an interest in the fund, either as the general partner of a limited partnership or as the holder of ""founder shares"" in a corporate fund. [179] For offshore funds structured as corporate entities, the fund may appoint a board of directors."	Hedge fund, Structure
The board's primary role is to provide a layer of oversight while representing the interests of the shareholders. [180] However, in practice board members may lack sufficient expertise to be effective in performing those duties.	other
"The board may include both affiliated directors who are employees of the fund and independent directors whose relationship to the fund is limited. [180]
 A side pocket is a mechanism whereby a fund compartmentalizes assets that are relatively illiquid or difficult to value reliably."	other
[184] When an investment is side-pocketed, its value is calculated separately from the value of the fund's main portfolio. [185] Because side pockets are used to hold illiquid investments, investors do not have the standard redemption rights with respect to the side pocket investment that they do with respect to the fund's main portfolio.	other
"[185] Profits or losses from the investment are allocated on a pro rata basis only to those who are investors at the time the investment is placed into the side pocket and are not shared with new investors. [185][186] Funds typically carry side pocket assets ""at cost"" for purposes of calculating management fees and reporting net asset values."	other
"This allows fund managers to avoid attempting a valuation of the underlying investments, which may not always have a readily available market value. [186]
 Side pockets were widely used by hedge funds during the financial crisis of 2007–2008 amidst a flood of withdrawal requests."	Hedge fund
Side pockets allowed fund managers to lay away illiquid securities until market liquidity improved, a move that could reduce losses. However, as the practice restricts investors' ability to redeem their investments it is often unpopular and many have alleged that it has been abused or applied unfairly.	other
"[187][188][189] The SEC also has expressed concern about aggressive use of side pockets and has sanctioned certain fund managers for inappropriate use of them. [1]
 Hedge funds must abide by the national, federal, and state regulatory laws in their respective locations."	Hedge fund
The U. S.	other
regulations and restrictions that apply to hedge funds differ from those that apply to its mutual funds. [190] Mutual funds, unlike hedge funds and other private funds, are subject to the Investment Company Act of 1940, which is a highly detailed and extensive regulatory regime.	Hedge fund, Regulation
[191] According to a report by the International Organization of Securities Commissions, the most common form of regulation pertains to restrictions on financial advisers and hedge fund managers in an effort to minimize client fraud. On the other hand, U.	Hedge fund, Regulation
S. hedge funds are exempt from many of the standard registration and reporting requirements because they only accept accredited investors.	Hedge fund
[69] In 2010, regulations were enacted in the US and European Union which introduced additional hedge fund reporting requirements. These included the U.	Hedge fund, Regulation
